strategy,edge_threshold,max_signs,max_rows,min_edge_sum,rows_target_10_50,train_avg_rows,train_roi,train_profit_kr,train_wins,train_max_drawdown,holdout_avg_rows,holdout_roi,holdout_profit_kr,holdout_wins,holdout_max_drawdown
V7_edge1pct_max2signs_maxrows50,0.01,2,50,,True,13.1,0.352371,10982.0,6,888,12.1,-1.0,-7198.0,0,596
V7_edge1pct_max2signs_maxrows50_minedgesum2pct,0.01,2,50,0.02,True,13.1,0.352371,10982.0,6,888,12.1,-1.0,-7198.0,0,596
V7_edge1pct_max2signs_maxrows50_minedgesum5pct,0.01,2,50,0.05,True,13.1,0.352371,10982.0,6,888,12.1,-1.0,-7198.0,0,596
V7_edge1pct_max2signs_maxrows50_minedgesum10pct,0.01,2,50,0.1,True,13.1,0.352371,10982.0,6,888,12.1,-1.0,-7198.0,0,596
V7_edge1pct_max3signs_maxrows50,0.01,3,50,,True,13.1,0.352371,10982.0,6,888,12.1,-1.0,-7198.0,0,596
V7_edge1pct_max3signs_maxrows50_minedgesum2pct,0.01,3,50,0.02,True,13.1,0.352371,10982.0,6,888,12.1,-1.0,-7198.0,0,596
V7_edge1pct_max3signs_maxrows50_minedgesum5pct,0.01,3,50,0.05,True,13.1,0.352371,10982.0,6,888,12.1,-1.0,-7198.0,0,596
V7_edge1pct_max3signs_maxrows50_minedgesum10pct,0.01,3,50,0.1,True,13.1,0.352371,10982.0,6,888,12.1,-1.0,-7198.0,0,596
V7_edge0pct_max3signs_maxrows100,0.0,3,100,,True,49.0,0.20728,24207.0,18,501,48.6,0.552954,16013.0,1,489
V7_edge0pct_max3signs_maxrows100_minedgesum2pct,0.0,3,100,0.02,True,49.0,0.20728,24207.0,18,501,48.6,0.552954,16013.0,1,489
V7_edge0pct_max3signs_maxrows100_minedgesum5pct,0.0,3,100,0.05,True,49.0,0.20728,24207.0,18,501,48.6,0.552954,16013.0,1,489
V7_edge0pct_max3signs_maxrows100_minedgesum10pct,0.0,3,100,0.1,True,49.0,0.20728,24207.0,18,501,48.6,0.552954,16013.0,1,489
V7_edge1pct_max2signs_maxrows100,0.01,2,100,,True,15.4,0.147384,5414.0,6,888,13.6,-1.0,-8094.0,0,596
V7_edge1pct_max2signs_maxrows100_minedgesum2pct,0.01,2,100,0.02,True,15.4,0.147384,5414.0,6,888,13.6,-1.0,-8094.0,0,596
V7_edge1pct_max2signs_maxrows100_minedgesum5pct,0.01,2,100,0.05,True,15.4,0.147384,5414.0,6,888,13.6,-1.0,-8094.0,0,596
V7_edge1pct_max2signs_maxrows100_minedgesum10pct,0.01,2,100,0.1,True,15.4,0.147384,5414.0,6,888,13.6,-1.0,-8094.0,0,596
V7_edge1pct_max3signs_maxrows100,0.01,3,100,,True,15.4,0.147384,5414.0,6,888,13.6,-1.0,-8094.0,0,596
V7_edge1pct_max3signs_maxrows100_minedgesum2pct,0.01,3,100,0.02,True,15.4,0.147384,5414.0,6,888,13.6,-1.0,-8094.0,0,596
V7_edge1pct_max3signs_maxrows100_minedgesum5pct,0.01,3,100,0.05,True,15.4,0.147384,5414.0,6,888,13.6,-1.0,-8094.0,0,596
V7_edge1pct_max3signs_maxrows100_minedgesum10pct,0.01,3,100,0.1,True,15.4,0.147384,5414.0,6,888,13.6,-1.0,-8094.0,0,596
V7_edge1pct_max2signs_maxrows10,0.01,2,10,,False,6.3,0.055906,834.0,4,1078,6.2,-1.0,-3678.0,0,596
V7_edge1pct_max2signs_maxrows10_minedgesum2pct,0.01,2,10,0.02,False,6.3,0.055906,834.0,4,1078,6.2,-1.0,-3678.0,0,596
V7_edge1pct_max2signs_maxrows10_minedgesum5pct,0.01,2,10,0.05,False,6.3,0.055906,834.0,4,1078,6.2,-1.0,-3678.0,0,596
V7_edge1pct_max2signs_maxrows10_minedgesum10pct,0.01,2,10,0.1,False,6.3,0.055906,834.0,4,1078,6.2,-1.0,-3678.0,0,596
V7_edge1pct_max3signs_maxrows10,0.01,3,10,,False,6.3,0.055906,834.0,4,1078,6.2,-1.0,-3678.0,0,596
V7_edge1pct_max3signs_maxrows10_minedgesum2pct,0.01,3,10,0.02,False,6.3,0.055906,834.0,4,1078,6.2,-1.0,-3678.0,0,596
V7_edge1pct_max3signs_maxrows10_minedgesum5pct,0.01,3,10,0.05,False,6.3,0.055906,834.0,4,1078,6.2,-1.0,-3678.0,0,596
V7_edge1pct_max3signs_maxrows10_minedgesum10pct,0.01,3,10,0.1,False,6.3,0.055906,834.0,4,1078,6.2,-1.0,-3678.0,0,596
V7_edge5pct_max2signs_maxrows10,0.05,2,10,,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows10_minedgesum2pct,0.05,2,10,0.02,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows10_minedgesum5pct,0.05,2,10,0.05,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows10_minedgesum10pct,0.05,2,10,0.1,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows20,0.05,2,20,,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows20_minedgesum2pct,0.05,2,20,0.02,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows20_minedgesum5pct,0.05,2,20,0.05,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows20_minedgesum10pct,0.05,2,20,0.1,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows30,0.05,2,30,,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows30_minedgesum2pct,0.05,2,30,0.02,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows30_minedgesum5pct,0.05,2,30,0.05,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
V7_edge5pct_max2signs_maxrows30_minedgesum10pct,0.05,2,30,0.1,False,1.2,0.047393,140.0,1,2147,1.2,-1.0,-713.0,0,596
